Column1,Column2,Correlation,P_value,Significance
MEL_120,popularity,0.04108797919332714,7.188016982349688e-20,Significant
MEL_119,popularity,0.0409737065809326,9.084561427205511e-20,Significant
MFCC_25,popularity,0.0407307689067177,1.4913488408828939e-19,Significant
tempo,popularity,0.040292706236794325,3.6190103652338575e-19,Significant
MFCC_43,popularity,0.038567696076892366,1.0840444627359714e-17,Significant
Tonnetz_6,popularity,0.03854632131333362,1.12965454250814e-17,Significant
MFCC_14,popularity,0.03801970481722176,3.0963891253777255e-17,Significant
MFCC_37,popularity,0.03788140042905638,4.0261263267769e-17,Significant
disc_number,popularity,-0.03764358950439176,6.309771350964421e-17,Significant
speechiness,popularity,-0.03644094226564934,5.867210570598771e-16,Significant
Chroma_2,popularity,-0.03406315700110397,3.917116123711225e-14,Significant
Chroma_11,popularity,-0.03397987296053534,4.5154869721413364e-14,Significant
MFCC_35,popularity,0.031254063863905134,3.931009714228531e-12,Significant
mean_words_sentence,popularity,-0.03043888703680723,1.3937646140241494e-11,Significant
Spectral_contrast_2,popularity,-0.028867256597684403,1.460513302137475e-10,Significant
Chroma_4,popularity,-0.027120791962293937,1.7277997475299728e-09,Significant
MFCC_44,popularity,-0.025735916246602628,1.103880169574972e-08,Significant
Chroma_10,popularity,-0.025499908918032842,1.500319121377666e-08,Significant
MFCC_7,popularity,-0.024863409378358688,3.386792526903765e-08,Significant
Chroma_5,popularity,-0.022998548940747984,3.290210534536799e-07,Significant
Chroma_1,popularity,-0.022384741413665254,6.705397043150205e-07,Significant
MFCC_36,popularity,0.017941069986311994,6.805779686673417e-05,Significant
Tonnetz_2,popularity,0.01644760232951412,0.0002608411769530528,Significant
MFCC_38,popularity,-0.016416334279883534,0.000267983565283674,Significant
Tonnetz_5,popularity,0.016196997438498652,0.0003234805027267651,Significant
Tonnetz_4,popularity,0.01541855916088549,0.0006195735545719885,Significant
MFCC_20,popularity,-0.014098217052514884,0.0017495315681467427,Significant
MFCC_48,popularity,0.012570875545764687,0.005260059952820285,Significant
MFCC_9,popularity,-0.012561885822455926,0.00529258182328724,Significant
mode,popularity,-0.012068841549168445,0.00737974843612945,Significant
Tonnetz_3,popularity,-0.01156895783024802,0.010222072263899594,Significant
liveness,popularity,-0.011021764686474478,0.01441529030413798,Significant
MFCC_29,popularity,0.01059178858809478,0.018708549722356364,Significant
Chroma_8,popularity,-0.009620718427912267,0.032703216766104035,Significant
MFCC_47,popularity,-0.009542985352020476,0.03413686770555662,Significant
MFCC_33,popularity,0.008485037272563448,0.0596207322476244,Not Significant
Spectral_contrast_3,popularity,-0.008150500138246603,0.07040103101983605,Not Significant
Chroma_6,popularity,-0.006657489574532526,0.13943947341382174,Not Significant
MFCC_42,popularity,-0.006436418113238075,0.15306017613458514,Not Significant
key,popularity,0.006366869565521136,0.1575480915200874,Not Significant
MFCC_46,popularity,-0.00628058300844549,0.16325382819935744,Not Significant
MFCC_40,popularity,-0.0061325235107307485,0.1734052449466719,Not Significant
MFCC_27,popularity,0.005050727756829186,0.2622049657884504,Not Significant
Chroma_9,popularity,-0.0048582641251135004,0.2808241190423547,Not Significant
MFCC_31,popularity,-0.004283112671573761,0.341709635080502,Not Significant
MFCC_16,popularity,-0.002832583416425847,0.52948438014083,Not Significant
MFCC_18,popularity,0.0016045856746239448,0.7216947175733168,Not Significant
Chroma_7,popularity,0.0007524998774966283,0.8673354442032537,Not Significant
